2025-02-25 22:14:37,629 - INFO - Experiment Configuration:
2025-02-25 22:14:37,629 - INFO - model_selected: AutoTimes
2025-02-25 22:14:37,629 - INFO - conf_path: ./conf/AutoTimes.json
2025-02-25 22:14:37,629 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-25 22:14:37,629 - INFO - llm_path: ../Model/
2025-02-25 22:14:37,629 - INFO - train_path: ./example/AutoTimes/sample/train.bin
2025-02-25 22:14:37,629 - INFO - val_path: ./example/AutoTimes/sample/val.bin
2025-02-25 22:14:37,629 - INFO - test_path: ./example/AutoTimes/sample/test.bin
2025-02-25 22:14:37,629 - INFO - train_indices_path: ./example/AutoTimes/sample/train_indices.bin
2025-02-25 22:14:37,629 - INFO - val_indices_path: ./example/AutoTimes/sample/val_indices.bin
2025-02-25 22:14:37,629 - INFO - test_indices_path: ./example/AutoTimes/sample/test_indices.bin
2025-02-25 22:14:37,629 - INFO - log_path: ./example/AutoTimes/log/example.log
2025-02-25 22:14:37,629 - INFO - model_path: ./example/AutoTimes/model/
2025-02-25 22:14:37,629 - INFO - device: cuda:7
2025-02-25 22:14:37,630 - INFO - GPUs: [7]
2025-02-25 22:14:37,630 - INFO - llm_type: gpt2
2025-02-25 22:14:37,630 - INFO - llm_layers: 6
2025-02-25 22:14:37,630 - INFO - head_num: 8
2025-02-25 22:14:37,630 - INFO - dim_llm: 768
2025-02-25 22:14:37,630 - INFO - epoch_max: 100
2025-02-25 22:14:37,630 - INFO - len_series: 256
2025-02-25 22:14:37,630 - INFO - len_reduce: 16
2025-02-25 22:14:37,630 - INFO - batch_size: 1024
2025-02-25 22:14:37,630 - INFO - data_size: 1000000
2025-02-25 22:14:37,630 - INFO - train_size: 200000
2025-02-25 22:14:37,630 - INFO - val_size: 10000
2025-02-25 22:14:37,630 - INFO - test_size: 10000
2025-02-25 22:14:37,630 - INFO - win_size: 16
2025-02-25 22:14:37,630 - INFO - stride: 16
2025-02-25 22:14:37,630 - INFO - mlp_layers: 2
2025-02-25 22:14:37,630 - INFO - mlp_dim: 512
2025-02-25 22:14:37,630 - INFO - in_channels: 1
2025-02-25 22:14:37,630 - INFO - out_channels: 4
2025-02-25 22:14:37,630 - INFO - activation: tanh
2025-02-25 22:14:37,630 - INFO - dropout: 0.1
2025-02-25 22:14:37,630 - INFO - Model initializing...
2025-02-25 22:14:37,641 - INFO - Using 1 GPUs
2025-02-25 22:14:42,037 - INFO - epoch: 0, validate trans_err: 7.50013590
2025-02-25 22:14:42,038 - INFO - epoch: 1, start training
2025-02-25 22:17:36,190 - INFO - epoch: 1, validate trans_err: 0.24445292
2025-02-25 22:17:36,216 - INFO - epoch: 2, start training
2025-02-25 22:20:31,511 - INFO - epoch: 2, validate trans_err: 0.18250982
2025-02-25 22:20:31,537 - INFO - epoch: 3, start training
2025-02-25 22:23:26,787 - INFO - epoch: 3, validate trans_err: 0.13839218
2025-02-25 22:23:26,813 - INFO - epoch: 4, start training
2025-02-25 22:26:22,434 - INFO - epoch: 4, validate trans_err: 0.11649235
2025-02-25 22:26:22,460 - INFO - epoch: 5, start training
2025-02-25 22:29:17,672 - INFO - epoch: 5, validate trans_err: 0.09781811
2025-02-25 22:29:17,698 - INFO - epoch: 6, start training
2025-02-25 22:32:13,346 - INFO - epoch: 6, validate trans_err: 0.08459967
2025-02-25 22:32:13,372 - INFO - epoch: 7, start training
2025-02-25 22:35:08,728 - INFO - epoch: 7, validate trans_err: 0.07723205
2025-02-25 22:35:08,755 - INFO - epoch: 8, start training
2025-02-25 22:38:04,070 - INFO - epoch: 8, validate trans_err: 0.07035466
2025-02-25 22:38:04,096 - INFO - epoch: 9, start training
2025-02-25 22:40:59,420 - INFO - epoch: 9, validate trans_err: 0.06590309
2025-02-25 22:40:59,446 - INFO - epoch: 10, start training
2025-02-25 22:43:54,485 - INFO - epoch: 10, validate trans_err: 0.05948142
2025-02-25 22:43:55,160 - INFO - Model in epoch: 10 saved successfully.
2025-02-25 22:43:55,186 - INFO - epoch: 11, start training
2025-02-25 22:46:50,570 - INFO - epoch: 11, validate trans_err: 0.05691030
2025-02-25 22:46:50,596 - INFO - epoch: 12, start training
2025-02-25 22:49:45,790 - INFO - epoch: 12, validate trans_err: 0.05613809
2025-02-25 22:49:45,816 - INFO - epoch: 13, start training
2025-02-25 22:52:41,103 - INFO - epoch: 13, validate trans_err: 0.05046569
2025-02-25 22:52:41,129 - INFO - epoch: 14, start training
2025-02-25 22:55:36,122 - INFO - epoch: 14, validate trans_err: 0.04915604
2025-02-25 22:55:36,149 - INFO - epoch: 15, start training
2025-02-25 22:58:31,120 - INFO - epoch: 15, validate trans_err: 0.04719188
2025-02-25 22:58:31,146 - INFO - epoch: 16, start training
2025-02-25 23:01:26,277 - INFO - epoch: 16, validate trans_err: 0.04673483
2025-02-25 23:01:26,304 - INFO - epoch: 17, start training
2025-02-25 23:04:21,922 - INFO - epoch: 17, validate trans_err: 0.04502164
2025-02-25 23:04:21,947 - INFO - epoch: 18, start training
2025-02-25 23:07:20,492 - INFO - epoch: 18, validate trans_err: 0.04489522
2025-02-25 23:07:20,521 - INFO - epoch: 19, start training
2025-02-25 23:10:22,572 - INFO - epoch: 19, validate trans_err: 0.04343947
2025-02-25 23:10:22,598 - INFO - epoch: 20, start training
2025-02-25 23:13:19,028 - INFO - epoch: 20, validate trans_err: 0.04112435
2025-02-25 23:13:20,287 - INFO - Model in epoch: 20 saved successfully.
2025-02-25 23:13:20,313 - INFO - epoch: 21, start training
2025-02-25 23:16:26,979 - INFO - epoch: 21, validate trans_err: 0.03991675
2025-02-25 23:16:27,005 - INFO - epoch: 22, start training
2025-02-25 23:19:26,142 - INFO - epoch: 22, validate trans_err: 0.03858216
2025-02-25 23:19:26,168 - INFO - epoch: 23, start training
