2025-02-27 16:55:48,379 - INFO - Experiment Configuration:
2025-02-27 16:55:48,380 - INFO - model_selected: AutoTimes
2025-02-27 16:55:48,380 - INFO - conf_path: ./conf/AutoTimes.json
2025-02-27 16:55:48,380 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-27 16:55:48,380 - INFO - llm_path: ../Model/
2025-02-27 16:55:48,380 - INFO - train_path: ./example/AutoTimes/sample/train.bin
2025-02-27 16:55:48,381 - INFO - val_path: ./example/AutoTimes/sample/val.bin
2025-02-27 16:55:48,381 - INFO - test_path: ./example/AutoTimes/sample/test.bin
2025-02-27 16:55:48,381 - INFO - train_indices_path: ./example/AutoTimes/sample/train_indices.bin
2025-02-27 16:55:48,381 - INFO - val_indices_path: ./example/AutoTimes/sample/val_indices.bin
2025-02-27 16:55:48,381 - INFO - test_indices_path: ./example/AutoTimes/sample/test_indices.bin
2025-02-27 16:55:48,381 - INFO - log_path: ./example/AutoTimes/log/example.log
2025-02-27 16:55:48,381 - INFO - model_path: ./example/AutoTimes/model/
2025-02-27 16:55:48,381 - INFO - device: cuda:7
2025-02-27 16:55:48,381 - INFO - GPUs: [7]
2025-02-27 16:55:48,381 - INFO - llm_type: gpt2
2025-02-27 16:55:48,381 - INFO - llm_layers: 6
2025-02-27 16:55:48,381 - INFO - head_num: 8
2025-02-27 16:55:48,382 - INFO - dim_llm: 768
2025-02-27 16:55:48,382 - INFO - epoch_max: 100
2025-02-27 16:55:48,382 - INFO - len_series: 256
2025-02-27 16:55:48,382 - INFO - len_reduce: 16
2025-02-27 16:55:48,382 - INFO - batch_size: 512
2025-02-27 16:55:48,382 - INFO - data_size: 1000000
2025-02-27 16:55:48,382 - INFO - train_size: 200000
2025-02-27 16:55:48,382 - INFO - val_size: 10000
2025-02-27 16:55:48,382 - INFO - test_size: 10000
2025-02-27 16:55:48,382 - INFO - win_size: 16
2025-02-27 16:55:48,382 - INFO - stride: 16
2025-02-27 16:55:48,382 - INFO - mlp_layers: 2
2025-02-27 16:55:48,383 - INFO - mlp_dim: 512
2025-02-27 16:55:48,383 - INFO - in_channels: 1
2025-02-27 16:55:48,383 - INFO - out_channels: 4
2025-02-27 16:55:48,383 - INFO - activation: tanh
2025-02-27 16:55:48,383 - INFO - dropout: 0.1
2025-02-27 16:55:48,383 - INFO - Model loading...
2025-02-27 16:55:48,885 - INFO - Using 1 GPUs
2025-02-27 16:55:54,909 - INFO - epoch: 0, validate trans_err: 0.02165198
2025-02-27 16:55:54,910 - INFO - epoch: 1, start training
2025-02-27 17:00:04,854 - INFO - epoch: 1, validate trans_err: 0.02215776
2025-02-27 17:00:04,881 - INFO - epoch: 2, start training
2025-02-27 17:04:13,912 - INFO - epoch: 2, validate trans_err: 0.02283781
2025-02-27 17:04:13,937 - INFO - epoch: 3, start training
2025-02-27 17:08:20,526 - INFO - epoch: 3, validate trans_err: 0.02237796
2025-02-27 17:08:20,557 - INFO - epoch: 4, start training
2025-02-27 17:12:29,837 - INFO - epoch: 4, validate trans_err: 0.02679522
2025-02-27 17:12:29,863 - INFO - epoch: 5, start training
2025-02-27 17:16:35,729 - INFO - epoch: 5, validate trans_err: 0.02348325
2025-02-27 17:16:35,755 - INFO - epoch: 6, start training
2025-02-27 17:20:41,562 - INFO - epoch: 6, validate trans_err: 0.02509904
2025-02-27 17:20:41,587 - INFO - epoch: 7, start training
2025-02-27 17:24:48,753 - INFO - epoch: 7, validate trans_err: 0.02145803
2025-02-27 17:24:48,788 - INFO - epoch: 8, start training
2025-02-27 17:28:56,412 - INFO - epoch: 8, validate trans_err: 0.02092969
2025-02-27 17:28:56,437 - INFO - epoch: 9, start training
2025-02-27 17:33:04,573 - INFO - epoch: 9, validate trans_err: 0.02051169
2025-02-27 17:33:04,598 - INFO - epoch: 10, start training
2025-02-27 17:37:12,150 - INFO - epoch: 10, validate trans_err: 0.02049741
2025-02-27 17:37:12,951 - INFO - Model in epoch: 10 saved successfully.
2025-02-27 17:37:12,976 - INFO - epoch: 11, start training
2025-02-27 17:41:25,163 - INFO - epoch: 11, validate trans_err: 0.02072002
2025-02-27 17:41:25,192 - INFO - epoch: 12, start training
2025-02-27 17:45:38,284 - INFO - epoch: 12, validate trans_err: 0.02122006
2025-02-27 17:45:38,309 - INFO - epoch: 13, start training
2025-02-27 17:49:49,991 - INFO - epoch: 13, validate trans_err: 0.02188519
2025-02-27 17:49:50,016 - INFO - epoch: 14, start training
2025-02-27 17:54:01,524 - INFO - epoch: 14, validate trans_err: 0.02125001
2025-02-27 17:54:01,549 - INFO - epoch: 15, start training
2025-02-27 17:58:11,209 - INFO - epoch: 15, validate trans_err: 0.02263091
2025-02-27 17:58:11,234 - INFO - epoch: 16, start training
2025-02-27 18:02:17,171 - INFO - epoch: 16, validate trans_err: 0.02064222
2025-02-27 18:02:17,246 - INFO - epoch: 17, start training
2025-02-27 18:06:27,955 - INFO - epoch: 17, validate trans_err: 0.01999146
2025-02-27 18:06:27,980 - INFO - epoch: 18, start training
2025-02-27 18:10:38,639 - INFO - epoch: 18, validate trans_err: 0.02023854
2025-02-27 18:10:38,664 - INFO - epoch: 19, start training
2025-02-27 18:14:48,102 - INFO - epoch: 19, validate trans_err: 0.02032203
2025-02-27 18:14:48,127 - INFO - epoch: 20, start training
2025-02-27 18:18:57,640 - INFO - epoch: 20, validate trans_err: 0.02011143
2025-02-27 18:18:58,625 - INFO - Model in epoch: 20 saved successfully.
2025-02-27 18:18:58,651 - INFO - epoch: 21, start training
2025-02-27 18:23:07,888 - INFO - epoch: 21, validate trans_err: 0.01982201
2025-02-27 18:23:07,913 - INFO - epoch: 22, start training
2025-02-27 18:27:19,179 - INFO - epoch: 22, validate trans_err: 0.02017182
2025-02-27 18:27:19,237 - INFO - epoch: 23, start training
2025-02-27 18:31:28,085 - INFO - epoch: 23, validate trans_err: 0.02027391
2025-02-27 18:31:28,111 - INFO - epoch: 24, start training
2025-02-27 18:35:36,103 - INFO - epoch: 24, validate trans_err: 0.02022717
2025-02-27 18:35:36,129 - INFO - epoch: 25, start training
2025-02-27 18:39:44,621 - INFO - epoch: 25, validate trans_err: 0.01996598
2025-02-27 18:39:44,648 - INFO - epoch: 26, start training
2025-02-27 18:43:55,358 - INFO - epoch: 26, validate trans_err: 0.01981180
2025-02-27 18:43:55,433 - INFO - epoch: 27, start training
2025-02-27 18:48:03,922 - INFO - epoch: 27, validate trans_err: 0.02007741
2025-02-27 18:48:03,984 - INFO - epoch: 28, start training
2025-02-27 18:52:13,437 - INFO - epoch: 28, validate trans_err: 0.01996691
2025-02-27 18:52:13,462 - INFO - epoch: 29, start training
2025-02-27 18:56:21,666 - INFO - epoch: 29, validate trans_err: 0.01986759
2025-02-27 18:56:21,712 - INFO - epoch: 30, start training
2025-02-27 19:00:31,548 - INFO - epoch: 30, validate trans_err: 0.01957716
2025-02-27 19:00:32,547 - INFO - Model in epoch: 30 saved successfully.
2025-02-27 19:00:32,572 - INFO - epoch: 31, start training
2025-02-27 19:04:41,886 - INFO - epoch: 31, validate trans_err: 0.01978919
2025-02-27 19:04:41,911 - INFO - epoch: 32, start training
2025-02-27 19:08:51,346 - INFO - epoch: 32, validate trans_err: 0.01992481
2025-02-27 19:08:51,371 - INFO - epoch: 33, start training
2025-02-27 19:12:59,478 - INFO - epoch: 33, validate trans_err: 0.01979132
2025-02-27 19:12:59,504 - INFO - epoch: 34, start training
2025-02-27 19:17:07,512 - INFO - epoch: 34, validate trans_err: 0.01966617
2025-02-27 19:17:07,538 - INFO - epoch: 35, start training
2025-02-27 19:21:14,907 - INFO - epoch: 35, validate trans_err: 0.01972200
2025-02-27 19:21:14,933 - INFO - epoch: 36, start training
2025-02-27 19:25:21,726 - INFO - epoch: 36, validate trans_err: 0.01976874
2025-02-27 19:25:21,751 - INFO - epoch: 37, start training
2025-02-27 19:29:29,649 - INFO - epoch: 37, validate trans_err: 0.01971949
2025-02-27 19:29:29,677 - INFO - epoch: 38, start training
2025-02-27 19:33:37,700 - INFO - epoch: 38, validate trans_err: 0.01964115
2025-02-27 19:33:37,725 - INFO - epoch: 39, start training
2025-02-27 19:37:45,748 - INFO - epoch: 39, validate trans_err: 0.01924362
2025-02-27 19:37:45,784 - INFO - epoch: 40, start training
2025-02-27 19:41:52,847 - INFO - epoch: 40, validate trans_err: 0.01975909
2025-02-27 19:41:53,900 - INFO - Model in epoch: 40 saved successfully.
2025-02-27 19:41:53,924 - INFO - epoch: 41, start training
2025-02-27 19:46:01,679 - INFO - epoch: 41, validate trans_err: 0.01945121
2025-02-27 19:46:01,704 - INFO - epoch: 42, start training
2025-02-27 19:50:14,555 - INFO - epoch: 42, validate trans_err: 0.01989125
2025-02-27 19:50:14,579 - INFO - epoch: 43, start training
2025-02-27 19:54:26,306 - INFO - epoch: 43, validate trans_err: 0.01930444
2025-02-27 19:54:26,330 - INFO - epoch: 44, start training
2025-02-27 19:58:39,150 - INFO - epoch: 44, validate trans_err: 0.01964580
2025-02-27 19:58:39,208 - INFO - epoch: 45, start training
2025-02-27 20:02:51,264 - INFO - epoch: 45, validate trans_err: 0.01925552
2025-02-27 20:02:51,289 - INFO - epoch: 46, start training
2025-02-27 20:07:03,144 - INFO - epoch: 46, validate trans_err: 0.01955482
2025-02-27 20:07:03,183 - INFO - epoch: 47, start training
