2025-02-25 22:18:22,524 - INFO - Experiment Configuration:
2025-02-25 22:18:22,525 - INFO - model_selected: TimeLLM
2025-02-25 22:18:22,525 - INFO - conf_path: ./conf/TimeLLM.json
2025-02-25 22:18:22,525 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-25 22:18:22,525 - INFO - llm_path: ../Model/
2025-02-25 22:18:22,525 - INFO - train_path: ./example/TimeLLM/sample/train.bin
2025-02-25 22:18:22,525 - INFO - val_path: ./example/TimeLLM/sample/val.bin
2025-02-25 22:18:22,525 - INFO - test_path: ./example/TimeLLM/sample/test.bin
2025-02-25 22:18:22,525 - INFO - train_indices_path: ./example/TimeLLM/sample/train_indices.bin
2025-02-25 22:18:22,525 - INFO - val_indices_path: ./example/TimeLLM/sample/val_indices.bin
2025-02-25 22:18:22,525 - INFO - test_indices_path: ./example/TimeLLM/sample/test_indices.bin
2025-02-25 22:18:22,525 - INFO - log_path: ./example/TimeLLM/log/example.log
2025-02-25 22:18:22,525 - INFO - model_path: ./example/TimeLLM/model/
2025-02-25 22:18:22,525 - INFO - device: cuda:3
2025-02-25 22:18:22,525 - INFO - GPUs: [3]
2025-02-25 22:18:22,525 - INFO - llm_type: gpt2
2025-02-25 22:18:22,525 - INFO - llm_layers: 6
2025-02-25 22:18:22,525 - INFO - epoch_max: 100
2025-02-25 22:18:22,525 - INFO - len_series: 256
2025-02-25 22:18:22,525 - INFO - len_reduce: 16
2025-02-25 22:18:22,525 - INFO - batch_size: 256
2025-02-25 22:18:22,525 - INFO - data_size: 1000000
2025-02-25 22:18:22,525 - INFO - train_size: 200000
2025-02-25 22:18:22,525 - INFO - val_size: 10000
2025-02-25 22:18:22,525 - INFO - test_size: 10000
2025-02-25 22:18:22,525 - INFO - patch_len: 16
2025-02-25 22:18:22,525 - INFO - stride: 8
2025-02-25 22:18:22,525 - INFO - head_num: 8
2025-02-25 22:18:22,525 - INFO - dim_model: 128
2025-02-25 22:18:22,525 - INFO - dim_llm: 768
2025-02-25 22:18:22,525 - INFO - dim_ff: 128
2025-02-25 22:18:22,525 - INFO - reduced_vocab_size: 1000
2025-02-25 22:18:22,525 - INFO - seq_overview: These sequences come from the salt dataset, with a sequence length of 256. We need to compress them into sequences of length 16 and try to keep the original sequence features.
2025-02-25 22:18:22,525 - INFO - prompt_len: 256
2025-02-25 22:18:22,525 - INFO - Model initializing...
2025-02-25 22:18:22,536 - INFO - Using 1 GPUs
2025-02-25 22:21:04,059 - INFO - epoch: 0, validate trans_err: 7.29583359
2025-02-25 22:21:04,060 - INFO - epoch: 1, start training
2025-02-25 23:20:16,303 - INFO - epoch: 1, validate trans_err: 0.22604239
2025-02-25 23:20:16,355 - INFO - epoch: 2, start training
2025-02-26 00:24:04,918 - INFO - epoch: 2, validate trans_err: 0.18264827
2025-02-26 00:24:04,960 - INFO - epoch: 3, start training
2025-02-26 01:26:31,316 - INFO - epoch: 3, validate trans_err: 0.17424336
2025-02-26 01:26:31,459 - INFO - epoch: 4, start training
2025-02-26 02:28:51,093 - INFO - epoch: 4, validate trans_err: 0.15570043
2025-02-26 02:28:51,150 - INFO - epoch: 5, start training
2025-02-26 03:34:18,333 - INFO - epoch: 5, validate trans_err: 0.15217617
2025-02-26 03:34:18,386 - INFO - epoch: 6, start training
2025-02-26 04:36:09,851 - INFO - epoch: 6, validate trans_err: 0.14626661
2025-02-26 04:36:09,913 - INFO - epoch: 7, start training
2025-02-26 05:39:07,422 - INFO - epoch: 7, validate trans_err: 0.14121976
2025-02-26 05:39:07,480 - INFO - epoch: 8, start training
2025-02-26 06:42:34,100 - INFO - epoch: 8, validate trans_err: 0.13742161
2025-02-26 06:42:34,158 - INFO - epoch: 9, start training
2025-02-26 07:45:06,487 - INFO - epoch: 9, validate trans_err: 0.13470657
2025-02-26 07:45:06,557 - INFO - epoch: 10, start training
2025-02-26 08:46:40,859 - INFO - epoch: 10, validate trans_err: 0.13071287
2025-02-26 08:46:42,253 - INFO - Model in epoch: 10 saved successfully.
2025-02-26 08:46:42,294 - INFO - epoch: 11, start training
2025-02-26 09:49:36,961 - INFO - epoch: 11, validate trans_err: 0.13122711
2025-02-26 09:49:37,018 - INFO - epoch: 12, start training
